example,ngram,pattern,term
You can also elect to receive a paycheck for life through the income feature.,elect to receive,elect to-inf,elect
We elect one person to run the Executive branch.,elect one,elect n,elect
The State Committee shall elect such officers as it deems necessary.,elect such officers as it,elect n as n,elect
The theme of the offensive is the direct election of the president.,election of the president,election of n,election
Sir Richard Dobson also retires by rotation and does not seek re-election as a director.,election as a director,election as n,election
The retiring Vice - President shall not be eligible for re - election to the office of Vice - President.,election to the office,election to n,election
Those comments set the tone for the remainder of his election.,his election,"x+'s election",election
You’ve got an old man and you take him to the electric chair.,the electric chair,the electric chair,electric
"I’m ready to get back to the electric stuff,” he said.",the electric,the electric,electric
Horse frightened by electric car.,by electric car,by electric car,electric
Can a 12-V battery electrocute you?,electrocute you,electrocute pron-refl,electrocute
This lovely sign about death by electrocution.,by electrocution,by electrocution,electrocution
Second element is nothing but the last element of the array.,element of the array,element of n,element
"At initialization, each element in the table is 1.",element in the table,element in n,element
These plans are included in element No.,in element,in element,element
This paper delivers a key element towards such a model.,key element,adj element,element
Element 93 out of Element 92.,out of element,out of element,element
Direct job creation is one element of the employment dynamic.,one element,n element,element
By the Court : It is elementary that the memory of a wit.,it is elementary that,it v-link elementary that,elementary
"Iberian Peninsula, as there are several characteristically Celtic elements among them.",elements among them,elements among pl-n,elements
Request an area where you’ll be less exposed to the elements.,the elements,the elements,elements
"I think, to really elevate it to the level that I feel we need.",elevate it to the level,elevate n to n,elevate
"Medici, was his elevation to the rank of cardinal.",elevation to the rank,elevation to n,elevation
His elevation to HUD secretary alone suggests as much.,his elevation,"x+'s elevation",elevation
He grew up in Utah in an area of high elevation.,high elevation,adj elevation,elevation
It lays out three criteria for prioritizing eligibility for the program.,eligibility for the program,eligibility for n,eligibility
"You are eligible for one, not both, of these credits every four years.",eligible for one,eligible for n,eligible
Residents will be eligible to receive a free raised gardening.,eligible to receive,eligible to-inf,eligible
"By radically increasing the costs of a wide range of market activities these are made far less eligible as a result of the state's power to coerce.",eligible as a result,eligible as n,eligible
"The goal is to click on pairs of matching tiles and eliminate them from the board, but you can only select tiles that are free on the left or right.",eliminate them from the board,eliminate n from n,eliminate
I think he was a little elitist about it.,elitist about it,elitist about n,elitist
"He was eloquent on the subject, as he usually is.",eloquent on the subject,eloquent on n,eloquent
Sedge was far more eloquent about it than I.,eloquent about it,eloquent about n,eloquent
"If you don’t receive an email from us, please get in touch.",email from us,email from n,email
Majesty if it did not emanate from it.,emanate from it,emanate from n,emanate
Ahmadinejad criticized the United States for refusing to sell Iran spare parts for its civilian planes as part of its long standing embargo against the country.,embargo against the country,embargo against n,embargo
We shall fully support the 1963 UN embargo on the sale of arms to South Africa.,embargo on the sale,embargo on n,embargo
"In addition, some of the cancers are under embargo.",under embargo,under embargo,embargo
We will continue to enforce the arms embargo.,the arms embargo,n embargo,embargo
Embark on a journey of never ending excitement and fun when 2017 is already here.,embark on a journey,embark on n,embark
It was a little embarrassing to me.,embarrassing to me,embarrassing to n,embarrassing
Crocker felt no embarrassment about his landing.,embarrassment about his,embarrassment about n,embarrassment
He betrayed no embarrassment at his nakedness.,embarrassment at his,embarrassment at n,embarrassment
"It has been an embarrassment to his historians these many, many years.",embarrassment to his,embarrassment to n,embarrassment
Brooklyn South is no stranger to embarrassment.,to embarrassment,to embarrassment,embarrassment
The woman smiles with embarrassment.,with embarrassment,with embarrassment,embarrassment
What a piece a embarrassment!,a embarrassment,a embarrassment,embarrassment
"He loves America without embarrassment, without apology.",without embarrassment,without embarrassment,embarrassment
More out of embarrassment than anything.,out of embarrassment,out of embarrassment,embarrassment
He duly covered his face in embarrassment.,in embarrassment,in embarrassment,embarrassment
It is wrong to attack a foreign embassy.,foreign embassy,adj embassy,embassy
"Livejournal, or TypePad, or embed it in a Web site.",embed it in a web,embed n in n,embed
Embed it in an affine space A n.,embed it in,embed n adv/prep,embed
Embed it in an affine space A n.,embed it in,embed n prep/adv,embed
The Boeing 777-367 was emblazoned with the words “Cathay Paciic”.,emblazoned with the words,emblazoned with n,emblazoned
Make the Hap Arnold design the official emblem of the US Air Force.,the official emblem,n emblem,emblem
I think the way that Penn addresses this is emblematic of his sort of dry sense of humour about it all.,emblematic of his,emblematic of n,emblematic
"It is embossed with the words Forge Steel, with a picture of an outline of an anvil.",embossed with the words,embossed with n,embossed
You can embroider on it what you like!,embroider on it,embroider on n,embroider
The two were embroiled in a bitter divorce and custody battle over their children.,embroiled in a bitter,embroiled in n,embroiled
"He was embroiled with his brothers, his wife and children.",embroiled with his,embroiled with n,embroiled
"That text contained, in embryo, the Stalinist gospel.",in embryo,in embryo,embryo
Did Beto emerge from his funk?,emerge from his,emerge from n,emerge
He has vowed to emerge on top after the next election.,emerge,emerge,emerge
"Among others, the client and the peer team emerge as major actors.",emerge as major,emerge as adj,emerge
Can you emerge victorious on this hectic new brawl map?,emerge victorious,emerge adj,emerge
"He has the potential to emerge as one of UK's top targets for 2017.",emerge as one,emerge as n,emerge
"Generally, the pain precedes the rash, and it is not unusual for a patient to get a complete work-up prior to the emergence of a rash.",emergence of a rash,emergence of n,emergence
Bedford is a professor emeritus with a Ph.D.,a professor emeritus,n emeritus,emeritus
"And secondly, it was not so easy to emigrate to another country.",emigrate to another country,emigrate to n,emigrate
"If the people emigrate from the country it is because, of all the ways to make their fortune, agriculture is the slowest.",emigrate from the country,emigrate from n,emigrate
One cannot attribute emigration to one facet of Dr.,emigration to one,emigration to n,emigration
The figure in absolute terms was estimated as being about half of the overall emigration from the area.,emigration from the area,emigration from n,emigration
"Among male participants, four linked their emigration plans with this narrative.",their emigration,"x+'s emigration",emigration
"His emissary, Mr.",his emissary,"x+'s emissary",emissary
Exhaust emissions from your car go up substantially.,emissions from your car,emissions from n,emissions
"The day she was born wasn't without emotion.",without emotion,without emotion,emotion
"As he ran off the field, he was overcome with emotion.",with emotion,with emotion,emotion
"Don't get emotional about it.",emotional about it,emotional about n,emotional
"Surely, they should be trying to empathize with you ?",empathize with you,empathize with n,empathize
Most striking was his empathy with his subjects.,empathy with his,empathy with n,empathy
Also of importance here is the unsaid aural empathy between the two friends.,empathy between the two,empathy between pl-n,empathy
I tried several approaches to help him develop empathy for his wife.,empathy for his,empathy for n,empathy
Our emphasis on the importance of caregiver resources is not unique.,emphasis on the importance,emphasis on n,emphasis
This is a family community event with emphasis on all the children.,with emphasis,with emphasis,emphasis
"I can't emphasize how bad this company is.",emphasize how,emphasize wh,emphasize
Let us emphasize that this is not merely an academic exercise.,emphasize that,emphasize that,emphasize
Excuse me for being emphatic about it.,emphatic about it,emphatic about n,emphatic
"Mata is emphatic on this point: ""It's safe.",emphatic on this point,emphatic on n,emphatic
Clinton advisers were emphatic that neither Mr.,emphatic that,emphatic that,emphatic
To round out his empire he founded the Zimmerman Bank.,his empire,"x+'s empire",empire
To round out his empire he founded the Zimmerman Bank.,his empire,n empire,empire
Rush FREE Empire Stamps and other offers.,free empire,adj empire,empire
Whom do I need to impress as they might employ me in the future?,employ me in the future,employ n in n,employ
As someone has said you will think twice before you can employ anyone as you will be aware that you can not get rid of them afterwards Just like a woman who cannot get rid of a cruel man.,employ anyone as you,employ n as n,employ
What is your plan to acquire and employ it?,employ it,employ n,employ
"Michael Heffron, miner in employ of the Bennett Bros.",in employ,in employ,employ
"He added that employment in the public sector has been reduced since 2012 by 4,000 jobs.",employment in the public,employment in n,employment
"Some will gain access to the subsidized exchanges, but will find it harder to gain employment as a result.",employment as a result,employment as n,employment
"And once you are in employment, it seems the benefits continue.",in employment,in employment,employment
It was empty of everything.,empty of everything,empty of n,empty
What rivers empty into it ?,empty into it,empty into n,empty
Queries They enable you to view data from a table.,enable you to view,enable n to-inf,enable
Then encapsulate it in one sentence.,encapsulate it in one,encapsulate n in n,encapsulate
But scientists are unsure of his exact path to that exclusive and small enclave.,small enclave,adj enclave,enclave
Enclose it in an envelope and call me when it is ready.,enclose it in an envelope,enclose n in n,enclose
The talks are the first formal encounter between the two sides for more than two years.,encounter between the two,encounter between pl-n,encounter
Brooks has said the song was based on a real-life encounter with his high school sweetheart.,encounter with his,encounter with n,encounter
I’d encourage you to support Ed to whatever extent you can.,encourage you,encourage n,encourage
We encourage you to notify them.,encourage you to notify,encourage n to-inf,encourage
I am encouraged that the parties have embarked on direct talks.,encouraged that,encouraged that,encouraged
"With the encouragement of his teachers, he started to see Indigenous stories as his.",encouragement of his,encouragement of n,encouragement
"There's nothing like encouragement to help you succeed.",encouragement to help,encouragement to-inf,encouragement
All of these notes are just encouragement to me.,encouragement to me,encouragement to n,encouragement
It is encouraging to see that this effort has paid off.,it is encouraging to see,it v-link encouraging to-inf,encouraging
It is encouraging that the GLC-lactate data agree with previous reports.,it is encouraging that,it v-link encouraging that,encouraging
I find it encouraging that you are proposing an initiative for reducing air pollution.,find it encouraging that,v it encouraging that,encouraging
It is encouraging when you separate what she does from how you feel about her.,it is encouraging when,it v-link encouraging when/if,encouraging
I will say that he never tried to encroach on my property by moving the boundary.,encroach on my property,encroach on n,encroach
"If you don’t do these things, they’ll encroach on you more.",encroach on,encroach adv/prep,encroach
"If you don’t do these things, they’ll encroach on you more.",encroach on,encroach prep/adv,encroach
Even its interior was soon encrusted with a galaxy of quaint shapes and contrasting hues.,encrusted with a galaxy,encrusted with n,encrusted
"In a word, why did he abandon four thousand francs in gold to encumber himself with a bundle of linen?",encumber himself with a bundle,encumber n with n,encumber
Tomorrow is a new day; begin it well and serenely and with too high a spirit to be encumbered with your old nonsense.,encumbered with your old nonsense,encumbered with n,encumbered
Press R2 to end it all.,end it all,end n adv/prep,end
Do you plan to continue that program or to end it?,end it,end n,end
"Oops, I guess I’ll end up eating a hot dog tonight.",end,end,end
"At the end of our meal, I asked for our check.",end of,end prep/adv,end
Press R2 to end it all.,end it all,end n prep/adv,end
"From simple AM radio to high-end digital audio setups, we take a look back.",end digital,end adj,end
What could end the world as we know it?,end the world as we,end n as n,end
That did little to endear him to his colleagues.,endear him to his,endear n to n,endear
Five families are endemic to the region.,endemic to the region,endemic to n,endemic
The ending of the primary obligations did not indicate the ending of all obligations.,ending of all obligations,ending of n,ending
There’s no way this was going to have a happy ending.,happy ending,adj ending,ending
"This article is not an endorsement for any company, equipment or supplies.",endorsement for any company,endorsement for n,endorsement
So license transfer equals endorsement of the views expressed ?,endorsement of the views,endorsement of n,endorsement
God will endow you with the tools to empower others facing similar challenges.,endow you with the tools,endow n with n,endow
I went to the very ends of the earth.,ends of the earth,ends of n,ends
Let us begin by tying up a couple of loose ends.,loose ends,adj ends,ends
"EEPING may endure for a night, but joy cometh in the morning.",endure for a night,endure for n,endure
Obama declared him an enemy of the state.,enemy of the state,enemy of n,enemy
Sleeping in the face of the enemy doesn’t win the war.,the enemy,the enemy,enemy
His enemy won’t be Stanford.,his enemy,"x+'s enemy",enemy
Even more impressive was how that room simmered with energy.,with energy,with energy,energy
"Their energy, vibrancy and talent came to define our label.",their energy,"x+'s energy",energy
He wrapped himself in quotations — as a beggar would enfold himself in the purple of Emperors.,enfold himself in the purple,enfold n in n,enfold
"They are not intended, nor can they be relied upon, to create any rights enforceable by any party in litigation with the United States.",enforceable by any party,enforceable by n,enforceable
"AND, how about some enforcement of the law?",enforcement of the law,enforcement of n,enforcement
The NGSS calls for students to engage in the practice of science.,engage in the practice,engage in n,engage
Engage them in the process of strategy development.,engage them in the process,engage n in n,engage
We have not endeavored to engage with them.,engage with them,engage with n,engage
Next month he will be engaged to his longtime girlfriend Upasana Kamineni.,engaged to his,engaged to n,engaged
Exactly as though he were engaged on his ordinary work.,engaged on his,engaged on n,engaged
She has gotten much more engaged in the business this year.,engaged in the business,engaged in n,engaged
We then discuss different modes of engagement with the world.,engagement with the world,engagement with n,engagement
A lot of people have been doing stacks for their engagement.,their engagement,"x+'s engagement",engagement
The glands become enlarged and blood vessels become engorged with the blood.,engorged with the blood,engorged with n,engorged
"Stone. happens, we should engrave it in the stone of the.",engrave it in the stone,engrave n in n,engrave
We could engrave your name on it too.,engrave your name on it,engrave n on n,engrave
The Liberty Bell has a Bible verse engraved on it.,engraved on it,engraved on n,engraved
Hours fly by when he gets engrossed in his projects.,engrossed in his,engrossed in n,engrossed
"Welcome to northern Thailand, where bile is a flavor enhancer.",a flavor enhancer,n enhancer,enhancer
She was rather enigmatic about it.,enigmatic about it,enigmatic about n,enigmatic
"Nay, if any human law should allow or enjoin us to commit it, we are bound to transgress that human law, or else we must offend both the natural and the divine.",enjoin us to commit,enjoin n to-inf,enjoin
I chose to work in this industry because I ENJOY IT.,enjoy it,enjoy pron-refl,enjoy
I chose to work in this industry because I ENJOY IT.,enjoy it,enjoy n,enjoy
"Howup-to-date, and enjoyable to read.",enjoyable to read,enjoyable to-inf,enjoyable
"No such predispositions, however, confined the enjoyment of his second daughter Anne.",enjoyment of his,enjoyment of n,enjoyment
Can you enlarge on it a little ?,enlarge on it,enlarge on n,enlarge
Would any of you like to enlighten me as to what that is ?,enlighten me as to what,enlighten n as to wh,enlighten
"Under MAVNI, you can enlist in the military even if you are not a U.S.",enlist in the military,enlist in n,enlist
"When we write to Illinois to try to enlist them to cooperate with us in an endeavor to get the amendment, they would say : “ We have no tax problem.",enlist them to cooperate,enlist n to-inf,enlist
And did you enlist as a private ?,enlist as a private,enlist as n,enlist
Here we could look at people who are enmeshed with each other.,enmeshed with each other,enmeshed with n,enmeshed
"Spider-Man, by contrast, is enmeshed in a web of legal obligations that stifle creativity.",enmeshed in a web,enmeshed in n,enmeshed
I do not feel any enmity towards him.,enmity towards him,enmity towards n,enmity
January 22 GOD PUT SATAN ON NOTICE And I will put enmity between thee and the woman.,enmity between thee,enmity between pl-n,enmity
The joy of writing the book was enough for me.,enough for me,enough for n,enough
"I'm lucky enough to be able to walk to work.",enough to be,enough to-inf,enough
It is enough to show that this map is injective.,it is enough to show,it v-link enough to-inf,enough
"As ambitious as the new system may be, is it enough?",it enough,n enough,enough
Not all uncompensated benefits are unjust enrichment.,unjust enrichment,adj enrichment,enrichment
They ensconce themselves in these holes when under fire.,ensconce themselves in,ensconce n prep/adv,ensconce
They ensconce themselves in these holes when under fire.,ensconce themselves in,ensconce n adv/prep,ensconce
"His chief excellencies were composition, and the ensemble of his figures.",ensemble of his,ensemble of n,ensemble
"For a man, not having the power of his own life, cannot by compact or his own consent enslave himself to any one, nor put himself under the absolute, arbitrary power of another to take away his life when he pleases.",enslave himself to any one,enslave n to n,enslave
Bustill used these last years of enslavement to his advantage.,enslavement to his,enslavement to n,enslavement
Their enslavement created much of the early wealth.,their enslavement,"x+'s enslavement",enslavement
Joe Owusu- Saffoh would ensnare them in his perfidious treachery.,ensnare them in his,ensnare n in n,ensnare
Schnetz for the ensuing one year. received 13 votes.,the ensuing one,det ensuing n,ensuing
We want to ensure that security is ensured at the terminal.,ensure that,ensure that,ensure
And how do you ensure you stand out from the crowd?,ensure you,ensure n,ensure
"Spies watched, feigning specious pretences to entangle him in his speech.",entangle him in his,entangle n in n,entangle
Does not the Warrior entangle himself with the affairs of this Life ?,entangle himself with the affairs,entangle n with n,entangle
It is clearly shown that the 3 low energy states are entangled with each other.,entangled with each other,entangled with n,entangled
"We are all insiders in the social world, entangled in a web of relationships.",entangled in a web,entangled in n,entangled
Their entanglement with the environment makes classical systems look robust.,entanglement with the environment,entanglement with n,entanglement
Enter thou into the joy of thy Lord.,enter thou into the joy,enter n into n,enter
"Block 24A Enter the dates of service, both FROM andTO.",enter the dates of,enter n adv/prep,enter
Enter for a chance to win tickets!,enter for a chance,enter for n,enter
Determine the purpose of your form and enter it in the box below.,enter it in the box,enter n in n,enter
Enter your email address in the subscribe box to sign up.,enter your email,enter n,enter
"An agreement, they may enter into an agreement.",enter into an agreement,enter into n,enter
"Block 24A Enter the dates of service, both FROM andTO.",enter the dates of,enter n prep/adv,enter
He’s one of the nicest people ever to enter my kitchen.,enter,enter,enter
Enter a nickname for yourself.,enter a nickname for yourself,enter n for n,enter
I guess you think private enterprise has got it right so far.,private enterprise,adj enterprise,enterprise
What is entertaining about it?,entertaining about it,entertaining about n,entertaining
His ascension was His enthronement.,his enthronement,"x+'s enthronement",enthronement
Just the thing to enthuse that conscientious salesman !,enthuse that,enthuse that,enthuse
It looks forward into the we certainly cannot enthuse about it.,enthuse about it,enthuse about n,enthuse
I never did enthuse over it.,enthuse over it,enthuse over n,enthuse
There was great enthusiasm among the people.,enthusiasm among the people,enthusiasm among pl-n,enthusiasm
The troupe’s enthusiasm for the subject matter they’re spoofing is infectious.,enthusiasm for the subject,enthusiasm for n,enthusiasm
Most do it without enthusiasm.,without enthusiasm,without enthusiasm,enthusiasm
Without their enthusiasm and hard work we would not be here today.,their enthusiasm,"x+'s enthusiasm",enthusiasm
In normal times it’s a trait I would applaud with enthusiasm.,with enthusiasm,with enthusiasm,enthusiasm
A must-see for any sports enthusiast.,any sports enthusiast,n enthusiast,enthusiast
Yet the Defence Forces was enthusiastic to be heading overseas.,enthusiastic to be,enthusiastic to-inf,enthusiastic
"Two or three of the colleges that I heard from in response to my questionnaire spoke of somewhat similar plans that they were using, and were enthusiastic over the vigor and robustness that Freshman composition had thus acquired.",enthusiastic over the vigor,enthusiastic over n,enthusiastic
I just got real enthusiastic about it.,enthusiastic about it,enthusiastic about n,enthusiastic
See how they entice you to stay.,entice you to,entice n prep/adv,entice
See how they entice you to stay.,entice you to,entice n adv/prep,entice
Advertisements entice us to buy what we see.,entice us to buy,entice n to-inf,entice
This will entitle you to receive 10 percent override on each of your Master Distributors.,entitle you to receive,entitle n to-inf,entitle
The alternative seems to assume an entitlement to a contract without the offensive term.,entitlement to a contract,entitlement to n,entitlement
Our president and his entourage are a disgrace.,his entourage,"x+'s entourage",entourage
Her entrance into the world of cooking was something of a fluke.,entrance into the world,entrance into n,entrance
At the first entrance on the right is the door to the garden.,entrance on the right,entrance on n,entrance
The entrance of the building was blocked with iron and rubble.,entrance of the building,entrance of n,entrance
The police surge cleared the way for access to a secure entrance to the building.,entrance to the building,entrance to n,entrance
Kansas is marking its entrance in the Union on Jan.,its entrance,"x+'s entrance",entrance
Arthur Conan Doyle wondered: “Is it the mind of the entranced medium?,entranced medium,entranced adj,entranced
Lemma 1 identifies the brand strength that will deter a potential entrant.,a potential entrant,n entrant,entrant
Can scarce entreat you to be odd with him.72 Heci.,entreat you to be,entreat n to-inf,entreat
"His demand, his entreaty to be tried was refused - and why ?",entreaty to be,entreaty to-inf,entreaty
Politicians use the crisis in an effort to entrench themselves and destroy their political opponents.,entrench themselves,entrench pron-refl,entrench
I entrust myself to your prayers.,entrust myself to your prayers,entrust n to n,entrust
The organization has once more seen fit to entrust me with the presidency of our grand Association.,entrust me with the presidency,entrust n with n,entrust
"With that in mind, Oracle’s entry into the market comes as no surprise.",entry into the market,entry into n,entry
"Read this entry to a friend, and compare notes.",entry to a friend,entry to n,entry
Entry of an Order.,entry of an order,entry of n,entry
Drag down the screen to start a new entry.,new entry,adj entry,entry
All patients had ST segment elevation on their entry ECGs.,their entry,"x+'s entry",entry
Those who entwine themselves together with the Lord will rise up like eagles.,entwine themselves,entwine pl-n,entwine
Her other hand was now entwined with his.,entwined with his,entwined with n,entwined
"Encompassed with a cloud, or enveloped in a cloud.",enveloped in a cloud,enveloped in n,enveloped
"I'm envious that you have one.",envious that,envious that,envious
I am envious of you.,envious of you,envious of n,envious
How would a dark clock synchronize with the natural environment?,natural environment,adj environment,environment
Farmers don’t care about their environment or the rest of California.,their environment,"x+'s environment",environment
We are creating the environment our kids are growing up in.,the environment,the environment,environment
The study area covered portee wharf and its environs.,its environs,"x+'s environs",environs
It would anyway be difficult to envisage how facilitation could occur.,envisage how,envisage wh,envisage
We envisage that these specifications will be useful beyond JaVerT.,envisage that,envisage that,envisage
"We can't envision what it will look like 100 years from now.",envision what,envision wh,envision
We envision that the method will evolve further with use.,envision that,envision that,envision
George Mitchell as his special envoy to the region.,envoy to the region,envoy to n,envoy
A United Nations special envoy on Friday called on the U.S.,special envoy,adj envoy,envoy
Between his envoy to the U.N.,his envoy,"x+'s envoy",envoy
I don’t envy anyone who had to review Prey.,envy anyone who,envy n n,envy
"Economic growth, we were the envy of the world.",envy of the world,envy of n,envy
I live to make my friends purr with envy.,with envy,with envy,envy
Beat literary magazines and other ephemera also will be on display.,other ephemera,adj ephemera,ephemera
There is a massive epidemic of the disease chytridiomycosis impacting amphibians.,epidemic of the disease,epidemic of n,epidemic
Innovative policies are needed to help curb the obesity epidemic.,the obesity epidemic,n epidemic,epidemic
"I'm the personification of the epilogue.",the epilogue,the epilogue,epilogue
The first episode of the series airs Monday at 11 p.m.,episode of the series,episode of n,episode
The Address or Epistle to the Church at Pergamos.,epistle to the church,epistle to n,epistle
Prakramabahu the Great started an amazing epoch in the history of Sri Lanka.,epoch in the history,epoch in n,epoch
Some at the ICS are wary of formalizing a new epoch.,new epoch,adj epoch,epoch
The estimated beta for the industry is equal to one.,equal to one,equal to n,equal
"They simply don't see us as their equal, but we are.",their equal,"x+'s equal",equal
It openly promotes equality between the sexes.,equality between the sexes,equality between pl-n,equality
Dorsey will have to sit still and take it with equanimity.,with equanimity,with equanimity,equanimity
They equate with one another.,equate with one,equate with n,equate
To equate one with the other is wrong.,equate one with the other,equate n with n,equate
All of these system benefits equate to a lowering of the cost of the power plant.,equate to a lowering,equate to n,equate
I equate it a little like food.,equate it,equate pl-n,equate
And there we get a linear equation with one variable x.,equation with one,equation with n,equation
"It's an equation that doesn't seem to add up.",equation that,equation that,equation
Equerry to his Majesty.,equerry to his,equerry to n,equerry
But although the mode of operation of a equidistant between the two axles.,equidistant between the two,equidistant between pl-n,equidistant
"Ocelli equidistant from each other and to eyes, nearer to superior margin.",equidistant from each other,equidistant from n,equidistant
We assume an equilibrium between the two phases.,equilibrium between the two,equilibrium between pl-n,equilibrium
The economy is now further away from its equilibrium level.,its equilibrium,"x+'s equilibrium",equilibrium
What is the Spring Equinox?,the spring equinox,n equinox,equinox
The vernal equinox will arrive at 1:14 a.m.,vernal equinox,adj equinox,equinox
"You equip them with the skills to stay safe, and then back off.",equip them with the skills,equip n with n,equip
How did Oxford equip you for a career as a politician ?,equip you for a career,equip n for n,equip
This will then equip you to make bigger decisions.,equip you to make,equip n to-inf,equip
Many seminaries are not yet equipped to handle lay students.,equipped to handle,equipped to-inf,equipped
I will be “thoroughly equipped for every good work” for “it is written.,equipped for every good,equipped for n,equipped
I think it is equitable that land. that the prospective interests of those 20 men 1281.,it is equitable that,it v-link equitable that,equitable
We then assert equivalence between the two instances.,equivalence between the two,equivalence between pl-n,equivalence
One Canadian dollar is roughly equivalent to one U.S.,equivalent to one,equivalent to n,equivalent
"It's the equivalent of one pack of cigarettes.",equivalent of one,equivalent of n,equivalent
Uber puts its equivalent figure closer to 80 percent.,its equivalent,"x+'s equivalent",equivalent
"At the same time, it is equivocal about who, if anyone, is having these experiences.",equivocal about who,equivocal about n,equivocal
Chesterton did not equivocate about his approach.,equivocate about his,equivocate about n,equivocate
"Trump answered yes, without equivocation.",without equivocation,without equivocation,equivocation
"However, a new era in the history of RT was starting.",era in the history,era in n,era
Do you have a favorite era of his music?,era of his,era of n,era
"You can then ring it, lock it or erase it from your computer.",erase it from your computer,erase n from n,erase
How is erection of the penis accomplished?,erection of the penis,erection of n,erection
Erosion of the soil in sampling area was taken into account.,erosion of the soil,erosion of n,erosion
"It is erroneous to assume that inflation, at all levels is bad for the economy.",it is erroneous to assume,it v-link erroneous to-inf,erroneous
Prescribed Sources of Information1 There is an error in the listing for the series area.,error in the listing,error in n,error
Upwards of 20 percent of initial diagnoses are in error.,in error,in error,error
These gains are obtained by trial and error.,by trial and error,by trial and error,error
Second permanent molars erupt into the mouth at about age 12 to 13 years.,erupt into the mouth,erupt into n,erupt
"Similar problems may erupt in the future, but never again “for the first time.",erupt in the future,erupt in n,erupt
"Do you, as an Army man, think this will escalate into something bigger?",escalate into something,escalate into n,escalate
"But she couldn't escape from it.",escape from it,escape from n,escape
It’s about all the vices we use to escape from ourselves.,escape from,escape adv/prep,escape
It’s not enough of a window for the thief to escape.,escape,escape,escape
I can’t seem to escape it over here.,escape it,escape n,escape
It’s about all the vices we use to escape from ourselves.,escape from,escape prep/adv,escape
"Skiing had always been his escape, a way out of hard times.",his escape,"x+'s escape",escape
I shall escort you to the gates of the palace.,escort you to,escort n adv/prep,escort
I shall escort you to the gates of the palace.,escort you to,escort n prep/adv,escort
Ten of our officers took a walk to the gardens under escort of a guard.,under escort,under escort,escort
It’s at The Marine Hall on The Esplanade.,the esplanade,the esplanade,esplanade
His espousal of 29.,his espousal,"x+'s espousal",espousal
No essay about it.,essay about it,essay about n,essay
A powerful essay on this topic is Peter S.,essay on this topic,essay on n,essay
The most satisfying essay in the book for me was Philip H.,essay in the book,essay in n,essay
That’s the essence of his film.,essence of his,essence of n,essence
The testis is essential in the development of BPH.,essential in the development,essential in n,essential
Its exact form is not essential as it only appears as an integrand.,essential as it,essential as n,essential
Partners are essential for the development of an organization.,essential for the development,essential for n,essential
Good management is essential to the success of an enterprise.,essential to the success,essential to n,essential
It is essential to have relevant inbound links to your website.,it is essential to have,it v-link essential to-inf,essential
"Canada and Latin America, makes it essential to retain an agency with representation in those areas.",makes it essential to retain,v it essential to-inf,essential
This makes it essential that Surve give evidence before the PIC Commission.,makes it essential that,v it essential that,essential
It is essential that retailers know who their customers are.,it is essential that,it v-link essential that,essential
We have worked with our allies to establish what happened.,establish what,establish wh,establish
"He's got to establish his place.",establish his,establish n,establish
I establish my covenant with you.,establish my covenant with you,establish n with n,establish
Posing them helps establish what to do next.,establish what to do,establish wh-to-inf,establish
"He's got to establish his place.",establish his,establish pron-refl,establish
You join his troupe and quickly establish yourself as a businessman.,establish yourself as a businessman,establish n as n,establish
You want to establish that you’ve been a crime victim.,establish that,establish that,establish
"Furthermore, the Commission announced the establishment of an independent food safety authority.",establishment of an independent,establishment of n,establishment
It was really a blueprint for the permanent establishment of the SDR.,permanent establishment,adj establishment,establishment
Dummy variable equal to one if the firm has more than one establishment in the country.,one establishment,n establishment,establishment
"It doesn't seem to matter who you offend in the establishment.",the establishment,the establishment,establishment
How much has his estate made since he died?,his estate,"x+'s estate",estate
We now proceed to estimate the number of required iterations.,estimate the number,estimate n,estimate
He declined to estimate how big the discounts might be.,estimate how,estimate wh,estimate
The Committees had no estimate of the number of people detained.,estimate of the number,estimate of n,estimate
This finds the initial estimate for the number of clusters.,estimate for the number,estimate for n,estimate
No one could give an estimate as to how many households effected.,estimate as to how,estimate as to wh,estimate
We know from the de nition of a cost estimate that?,estimate that,estimate that,estimate
The government on Friday cut its estimate of U.S.,its estimate,"x+'s estimate",estimate
"He appears to be, in my estimation, a neo-nazi.",my estimation,"x+'s estimation",estimation
He became estranged from his B.C.,estranged from his,estranged from n,estranged
It estrangement between the two sectors.,estrangement between the two,estrangement between pl-n,estrangement
Daguerreo learned how to let one flower etch its image on his plate of iodine ; and then proceeds at leisure to etch a million.,etch its image on his,etch n on n,etch
E a ETERNITY. an imperceptible period of time.,a eternity,a eternity,eternity
Boys’ High rowing coach Luke Jenkins praised the discipline and work ethic of his squad.,ethic of his,ethic of n,ethic
Should an environmental ethic cover all living things?,environmental ethic,adj ethic,ethic
"From my family, I was infused with a strong work ethic.",a strong work ethic,n ethic,ethic
"If it is ethical to use ethical investment, then it is also unethical not to.",it is ethical to use,it v-link ethical to-inf,ethical
The internal auditors of the company are committed to the ethics of the profession.,ethics of the profession,ethics of n,ethics
There are too many debates about their ethics.,their ethics,"x+'s ethics",ethics
"As street art matured and became ""respectable"", so did its ethos.",its ethos,"x+'s ethos",ethos
Steven Hines said in his eulogy to his son.,eulogy to his,eulogy to n,eulogy
"Not, according to Jessica, a euphemism for something fun.",euphemism for something,euphemism for n,euphemism
